id,title,descr
predef007,توصيف برنامج جديد ومقرراته,إعداد التوصيف الكامل لبرنامج أكاديمي جديد بما في ذلك جميع مقرراته
predef010,الاعتماد الأكاديمي - بكالوريوس القرآن وعلومه,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج بكالوريوس القرآن وعلومه
predef011,الاعتماد الأكاديمي - بكالوريوس القراءات,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج بكالوريوس القراءات
predef012,الاعتماد الأكاديمي - ماجستير الدراسات القرآنية المعاصرة,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج ماجستير الدراسات القرآنية المعاصرة
predef013,الاعتماد الأكاديمي - ماجستير القراءات,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج ماجستير القراءات
predef014,الاعتماد الأكاديمي - دكتوراه علوم القرآن,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج دكتوراه علوم القرآن
predef015,الاعتماد الأكاديمي - دكتوراه القراءات,المشاركة في أعمال لجان ومتطلبات الاعتماد الأكاديمي لبرنامج دكتوراه القراءات
predef004,مبادرة التحول,المشاركة في المبادرات المتعلقة بالتحول الرقمي أو المؤسسي
predef005,المراجعة الشاملة,المشاركة في أعمال المراجعة الشاملة للبرامج أو القسم
predef008,التحول للفصول الثلاثة,المشاركة في المهام المتعلقة بتطبيق نظام الفصول الدراسية الثلاثة.
predef009,المراجعة الداخلية,المشاركة في أعمال وإجراءات المراجعة الداخلية للقسم أو البرنامج.
